keys,description,es
dailyBankingNationalTransfersOtpTitle,Title of otp page to send national transfer,Firma de operación
dailyBankingNationalTransfersOtpButton,Button of otp page to send national transfer,Confirmar
dailyBankingNationalTransfersScheduledOtpModalSuccessTitle,Title of alert bottom sheet to send transfer,Has programado {amount} € a {name}
dailyBankingNationalTransfersScheduledOtpModalSuccessDescription,Description of alert bottom sheet to send transfer,Transferencia programada diariamente desde hoy.
dailyBankingNationalTransfersOtpModalSuccessTitle,Title of alert bottom sheet to send transfer,Envío realizado
dailyBankingNationalTransfersOtpModalSuccessDescription,Description of alert bottom sheet to send transfer,Se han enviado {amount} € a {name}
dailyBankingNationalTransfersOtpModalErrorTitle,Title of the alert bottom sheet when the transfer fails to be sent,Ha ocurrido un error
dailyBankingNationalTransfersOtpModalErrorDescription,Description of the alert bottom sheet when the transfer fails to be sent,No se han podido enviar {amount} € a {name}.
dailyBankingNationalTransfersOtpSuccessDownloadSuccessAlertTitle,Title of the alert when a transfer certificate has been downloaded successfully,La descarga se ha realizado con éxito.
dailyBankingNationalTransfersOtpSuccessDownloadSuccessAlertAction,Description of the alert when a transfer certificate has been downloaded successfully,Abrir documento
dailyBankingNationalTransfersOtpSuccessDownloadErrorAlertTitle,Title of the alert when the certificate of a transfer has not been successfully downloaded,Ha ocurrido un error al descargar el documento.
dailyBankingNationalTransfersMenuReuseTransfer,Reuse transfer,Reutilizar transferencia
dailyBankingNationalTransfersMenuCancelTransfer,Cancel transfer,Anular transferencia
dailyBankingNationalTransfersMenuCancelTransferModalTitle,Title of the modal when a transfer is cancelled,Transferencia anulada
dailyBankingNationalTransfersMenuCancelTransferModalDescription,Description of the modal when a transfer is cancelled,La transferencia de {amount} € a {name} ha sido anulada con éxito.
dailyBankingInternationalTransfers,International transfer,Transferencia internacional
dailyBankingInternationalTransfersDestination,Destination,Destino
dailyBankinginternationalTransfersCountryRecipientBank,Country of recipient bank,País del banco destinatario
dailyBankingInternationalTransfersButtonSendMoney,Button send money,Enviar dinero
dailyBankingInternationalTransfersType,Type of transfer,Tipo de transferencia
dailyBankingInternationalTransfersOtpTitle,Title of otp page to send national transfer,Firma de operación
dailyBankingInternationalTransfersOtpButton,Button of otp page to send national transfer,Confirmar
dailyBankingInternationalTransfersOtpSuccessModalTitle,Title of alert bottom sheet to send transfer,Has enviado {amount} € a {name}
dailyBankingInternationalTransfersOtpSuccessModalDescription,Description of alert bottom sheet to send transfer,Transferencia enviada con éxito.
dailyBankingInternationalTransfersOtpSuccessDownloadSuccessAlertTitle,Title of the alert when a transfer certificate has been downloaded successfully,La descarga se realizado con éxito.
dailyBankingInternationalTransfersOtpSuccessDownloadSuccessAlertAction,Description of the alert when a transfer certificate has been downloaded successfully,Abrir documento
dailyBankingInternationalTransfersOtpSuccessDownloadErrorAlertTitle,Title of the alert when the certificate of a transfer has not been successfully downloaded,Ha ocurrido un error al descargar el documento.
dailyBankingSoonPay,Title,soonPay
dailyBankingSoonPayContacts,Contacts soon,Contactos soon
dailyBankingSoonPayClient,Client,Cliente
dailyBankingSoonPayFavorites,Favorite contacts,Contactos favoritos
dailyBankingSoonPaySupplier,Supplier,Proveedor
dailyBankingSoonPayWithoutTransferFee,Transfer fee,Sin comisión de transferencia
dailyBankingSoonPaySendMoney,Send money,Enviar dinero
dailyBankingSoonPayScheduledModal,soonPay scheduled modal,Programar
dailyBankingSoonPayScheduledModalButton,soonPay scheduled modal button,Establecer programación
dailyBankingSoonPayOtpTitle,Title of the page otp to send money to soon contact,Firma de operación
dailyBankingSoonPayOtpButton,Button of the page otp to send money to soon contact,Confirmar
dailyBankingSoonPayScheduledOtpSuccessModalTitle,Title of alert bottom sheet when otp is success,Has programado {amount} € a {name}
dailyBankingSoonPayScheduledOtpSuccessModalDescription,Description of alert bottom sheet when otp is success,Transferencia programada mensualmente desde hoy.
dailyBankingSoonPayScheduledOtpSuccessModalButton,Button of alert bottom sheet when otp is success,Continuar
dailyBankingSoonPayOtpSuccessModalTitle,Title of alert bottom sheet when otp is success,Envío realizado
dailyBankingSoonPayOtpSuccessModalDescription,Description of alert bottom sheet when otp is success,Se han enviado {amount} € a {name}.
dailyBankingSoonPayOtpSuccessModalButton,Button of alert bottom sheet when otp is success,Continuar
dailyBankingSoonPayOtpErrorModalTitle,Title of alert bottom sheet when otp is wrong,Ha ocurrido un error
dailyBankingSoonPayOtpErrorModalDescription,Description of alert bottom sheet when otp is wrong,No se han podido enviar {amount} € a {name}.
dailyBankingSoonPayOtpErrorModalButton,Button of alert bottom sheet when otp is wrong,Volver a intentar
dailyBankingCards,Cards,Tarjetas
dailyBankingCardsAlias,Alias,Alias
dailyBankingCardsVirtual,Virtual card,Virtual
dailyBankingCardsPhysical,Physical card,Física
dailyBankingCardsBasic,Basic card,Basic
dailyBankingCardsPremium,Premium card,Premium
dailyBankingCardsMenuDeactivate,Menu cards deactivate card,Desactivar
dailyBankingCardsMenuSeeDetails,Menu cards see details,Ver detalles
dailyBankingCardsMenuSettings,Menu cards settings,Ajustes
dailyBankingCardsMenuDeactivateModalTitle,Title of modal deactivate card,Desactivar tarjeta
dailyBankingCardsMenuDeactivateModalSubtitle,Subtitle of modal deactivate card,¿Estás seguro de proceder?
dailyBankingCardsMenuDeactivateModalDescription,Description of modal deactivate card,"Antes de continuar, por favor, confirma que deseas desactivar tu tarjeta. Este proceso desactivará temporalmente tu tarjeta y no podrás realizar transacciones."
dailyBankingCardsMenuDeactivateOtpTitle,Title of otp page to deactivate card,Desactivar Tarjeta
dailyBankingCardsMenuDeactivateOtpButton,Text of button of otp page to deactivate card,Confirmar desactivación
dailyBankingCardsMenuDeactivateOtpSuccessTitle,Title of alert bottom sheet when card is deactivated,¡Tarjeta Desactivada!
dailyBankingCardsMenuDeactivateOtpSuccessDescription,Description of alert bottom sheet when card is deactivated,Tu tarjeta ha sido desactivada con éxito
dailyBankingCardsMenuDeactivateOtpErrorTitle,Title of the alert bottom sheet when the card could not be deactivated,Error al desactivar tarjeta
dailyBankingCardsMenuDeactivateOtpErrorDescription,Description of the alert bottom sheet when the card could not be deactivated,"Ha ocurrido un error, no ha sido posible desactivar tu tarjeta."
dailyBankingCardsDetailsTitle,Title card details,Detalles de tarjeta
dailyBankingCardsDetailsHolder,Holder of card,Titular
dailyBankingCardsDetailsCardNumber,Card number,Número de tarjeta
dailyBankingCardsDetailsExpirationDate,Expiration date,Fecha de caducidad
dailyBankingCardsDetailsCvv,Cvv,CVV
dailyBankingCardsSettingsTitle,Title card settings,Ajustes
dailyBankingCardsSettingsCardLimits,Limits of card,Límites de tarjeta
dailyBankingCardsSettingsCardLimitsDescription,Limits of card description,Establece límites de gasto
dailyBankingCardsSettingsCardAlias,Alias card,Editar alias
dailyBankingCardsSettingsCardAliasDescription,Alias card description,Establece un alias a tu tarjeta
dailyBankingCardsSettingsCardOnlinePayment,Online payment,Pagos online
dailyBankingCardsSettingsCardAtmWithdrawals,Atm withdrawals,Retiradas de cajero
dailyBankingCardsSettingsCardContactlessPayment,Contactless payments,Pagos contactless
dailyBankingCardsSettingsCardReportTheftOrLoss,Report theft or loss,Reportar robo o pérdida
dailyBankingCardsSettingsCardLimitsTitle,Title of page of card limits,Límites de tarjeta
dailyBankingCardsSettingsCardLimitsDailyPayment,Limit of daily payment,Límite de pago diario
dailyBankingCardsSettingsCardLimitsMonthlyPayment,Limit of monthly payment,Límite de pago mensual
dailyBankingCardsSettingsCardLimitsOnlinePayment,Limit of online payment,Límite de pago online
dailyBankingCardsSettingsCardLimitsAtmWithdrawals,Limit of atm withdrawals,Límite de retirada en cajero
dailyBankingCardsSettingsCardLimitsApply,Apply limits,Aplicar límites
dailyBankingInsurances,Insurances,Seguros
dailyBankingInsurancesPolicy,Policy,Póliza
dailyBankingInsurancesPolicies,Policies,Pólizas
dailyBankingInsurancesPolicyNumber,Policy number,Número de póliza
dailyBankingInsurancesPolicyNumberWithParams,Policy number,Número de póliza: {number}
dailyBankingInsurancesClaims,Claims,Siniestros
dailyBankingInsurancesClaimsNumber,Claims number,Número de expediente: {number}
dailyBankingInsurancesClaimsFilterStatus,Filter of claims status,Estado
dailyBankingInsurancesClaimsFilterStatusOpen,Filter of claims status open,Abierto
dailyBankingInsurancesClaimsFilterStatusInProgress,Filter of claims status in progress,En curso
dailyBankingInsurancesClaimsFilterStatusFinished,Filter of claims status finished,Finalizado
dailyBankingInsurancesPolicyDetails,Policy details,Detalles de la póliza
dailyBankingInsurancesPolicyDetailsDateOfIssue,Date of issue,Emisión
dailyBankingInsurancesPolicyDetailsExpirationDate,Date of expiration,Vencimiento
dailyBankingInsurancesPolicyDetailsAmount,Amount,Cuantía
dailyBankingInsurancesPolicyDetailsAmountLastReceipt,Amount of last receipt,Importe del último recibo
dailyBankingInsurancesPolicyDetailsFrequencyPayment,Frequency of payment,Periodicidad de pago
dailyBankingInsurancesPolicyDetailsCoverageIncluded,Cover included,Coberturas incluidas
dailyBankingInsurancesPolicyDetailsCoverageIncludedClaimsGeneralBreakdowns,General claims and breakdowns,Siniestros y averías generales
dailyBankingInsurancesPolicyDetailsCoverageIncludedComputerAssistance,Computer Assistance,Asistencia Informática
dailyBankingInsurancesPolicyDetailsCoverageIncludedRobberyWithAndWithoutViolence,Robbery with and without violence,Robo con y sin violencia
dailyBankingInsurancesPolicyDetailsCoverageIncludedElectricalDamage,Electrical Damage,Daños Eléctricos
dailyBankingInsurancesPolicyDetailsCoverageIncludedMachineryBreakdown,Machinery Breakdown,Avería de Maquinaria
dailyBankingInsurancesPolicyDetailsCoverageIncludedGlassBreakage,Glass breakage,Roturas de cristales
dailyBankingInsurancesPolicyDetailsCoverageIncludedAestheticDamage,Aesthetic Damage,Daños Estéticos
dailyBankingInsurancesPolicyDetailsCoverageIncludedLiability,Liability,Responsabilidad Civil
dailyBankingInsurancesPolicyDetailsCoverageIncludedDailyLossProfit,Daily Loss of Profit,Pérdida de Beneficios diaria
dailyBankingInsurancesPolicyDetailsCoverageIncludedForcedEviction,Forced Eviction,Desalojo Forzoso
dailyBankingInsurancesPolicyDetailsClaimsReportButton,Report a claim,Declarar un siniestro
dailyBankingInsurancesPolicyDetailsClaimsDetails,Details of the claim,Detalles del siniestro
dailyBankingInsurancesPolicyDetailsClaimsDetailsNumber,File No.,Nº Expediente
dailyBankingInsurancesPolicyDetailsClaimsDetailsOpeningDate,Opening date,Fecha apertura
dailyBankingInsurancesPolicyDetailsClaimsDetailsStartDateProcessing,Start date of processing,Fecha inicio tramitación
dailyBankingInsurancesPolicyDetailsClaimsDetailsEndDateProcessing,End date of processing,Fecha fin de tramitación
dailyBankingInsurancesPolicyDetailsClaimsDetailsStateClaim,State of claim,Estado de siniestro
dailyBankingInsurancesPolicyDetailsClaimsDetailsContactPerson,Contact person,Persona de contacto
dailyBankingInsurancesPolicyDetailsClaimsDetailsAssistanceModalTitle,Title of the mode of assistance,Servicio de atención al cliente
dailyBankingInsurancesPolicyDetailsClaimsDetailsAssistanceModalDescription,Description of the mode of assistance,Vas a ponerte en contacto con el Servicio de atención al cliente de soon. 
commonAppTitle,App Title,soon
commonBottomNavigationHome,Bottom navigation home,Inicio
commonBottomNavigationBusiness,Bottom navigation business,Negocio
commonBottomNavigationAgenda,Bottom navigation agenda,Agenda
commonBottomNavigationAnalitycs,Bottom navigation analitycs,Analítica
commonBottomNavigationProtection,Bottom navigation protection,Protección
commonSearch,Search,Buscar
commonFilter,Filter,Filtrar
commonFilterDiscard,Discard filters,Descartar filtros
commonFilterApply,Apply filters,Aplicar
commonFilterSelect,Select,Seleccionar
commonAmount,Amount,Importe
commonAll,All,Todos
commonRevenue,Revenue,Ingresos
commonExpenses,Expenses,Gastos
commonCategory,Category,Categoría
commonCategories,Categories,Categorías
commonCategoryEnergy,Category energy,Energía
commonCategoryFeeding,Category feeding,Alimentación
commonCategoryCulture,Caregory culture,Cultura
commonCategoryEducation,Category education ,Educación
commonCategoryEntertainment,Category entertainment,Entretenimiento
commonCategoryHome,Category home,Hogar
commonCategoryFashion,Category fashion,Moda
commonCategoryHealth,Category health,Salud
commonCategoryTechnology,Category technology,Tecnología
commonCategoryTransport,Category transport,Transporte
commonCategoryTravel,Caregory travel,Viajes
commonMovements,Movements,Movimientos
commonChange,Change,Cambiar
commonCancel,Cancelar,Cancelar
commonDeactivate,Desactivar,Desactivar
commonOtpSubtitle,Subtitle of otp page,Código de confirmación
commonOtpDescription,Description of otp page,Ingresa el código de confirmación que has recibido por SMS para confirmar la operación.
commonOtpResend,Text button resend code,Reenviar
commonOtpHelp,Help text of otp page,¿No recibes el código?
commonContinue,Continue,Continuar
commonSettings,Settings,Ajustes
commonSecurity,Security,Seguridad
commonTotal,Total,Total
commonAccount,Account,Cuenta
commonAccountName,Account name,Cuenta {name}
commonIban,IBAN,IBAN
commonBicSwift,Code BIC/SWIFT,Código BIC/SWIFT
commonCertificates,Certificates,Certificados
commonCertificate,Certificate,Certificado
commonNext,Next,Siguiente
commonPolicy,Policy,Póliza
commonClaims,Claims,Siniestros
commonInsuranceCommercial,Insurance commercial,Seguro de comercios
commonInsuranceResponsability,Insurance responsability,Seguro de Responsabilidad Civil
commonInsuranceCibersecurity,Insurance cibersecurity,Seguro de Ciberseguridad
commonInsuranceHealth,Insurance health,Seguro de Salud
commonInsuranceAccidents,Insurance accidents,Seguro de Accidentes
commonPhone,Phone,Teléfono
commonEmail,Email,Mail
commonCity,City,Ciudad
commonContact,Contact,Contactar
commonDescription,Description,Descripción
commonVoucher,Voucher,Comprobante
commonAttachments,Attachments,Adjuntos
commonGettingHelp,Getting help,Obtener ayuda
commonAddFile,Add file,Añadir archivo
commonCreateExpense,Create expense,Crear gasto
commonBankingInformation,Banking information,Información bancaria
commonMovementDetails,Movement details,Detalles de movimiento
commonBeneficiary,Beneficiary,Beneficiario
commonConcept,Concept,Concepto
commonProgrammed,Programmed,Programado
commonCurrency,Currency,Divisa
commonDownload,Download,Descargar
commonTransferTypeOrdinary,Ordinary,Ordinaria
commonTransferTypeImmediate,Immediate,Inmediata
commonFrom,From,Desde
commonTo,To,Hasta
commonDate,Date,Fecha
commonDateSince,Since,Desde
commonDateSinceDate,Since with date,Desde {date}
commonDateUntil,Until,Hasta
commonDateDispatch,Date of dispatch,Fecha de envío
commonDateEstimatedArrival,Estimated arrival,Llegada estimada
commonDateToday,Today,Hoy
commonDateYesterday,Yesterday,Ayer
commonDateYear,Year,Año
commonDateMonth,Month,Mes
commonDateDay,Day,Día
commonFrequency,Frequency,Frecuencia
commonFrequencyDaily,Daily,Diariamente
commonFrequencyWeekly,Weekly,Semanalmente
commonFrequencyMonthly,Monthly,Mensualmente
commonFrequencyQuarterly,Quarterly,Trimestralmente
commonFrequencyYearly,Yearly,Anualmente
commonFrequencyOccasional,Occasional,Puntual
commonPeriodicity,Periodicity,Periodicidad
commonAmountFrom,Amount from,Desde
commonAmountTo,Amount to,Hasta
commonNoConcept,No concept,Sin concepto
commonCountriesSpain,Spain,España
commonCountriesPortugal,Portugal,Portugal
commonCountriesFrance,France,Francia
commonCorporateName,Name or corporate name,Nombre o razón social
commonHolder,Holder,Titular
commonTransferFee,Transfer fee,Comisión de transferencia
commonConfirm,Confirm,Confirmar
commonSignatureOperation,Signature of operation,Firma de operación
commonSeeMoreReceipts,See more receipts from the issuer,Ver más recibos del emisor
commonRefuseCollection,Refuse collection,Rechazar cobro
commonAccountNumber,Account number,Número de cuenta
commonRequestCertificateName,Request a certificate,Solicitar certificado de {name}
commonIssuerName,Issuer Name,Nombre Emisor
commonDetailsMovement,Details of the movement,Detalles del movimiento
commonSave,Save,Guardar
commonAttachmentDeleted,Attachment deleted,Documento adjunto eliminado